City,Condition,Local-Time,Source-URL,Temperature,Scraped-At
Accra,Partly cloudy. Warm.,Tue 3:33 am,https://www.timeanddate.com/weather/ghana/accra,77ʡF,2026-09-15T03:33:58.870741+00:00
Edmonton,Light rain. Passing clouds. Cool.,Mon 9:33 pm,https://www.timeanddate.com/weather/canada/edmonton,48ʡF,2026-09-15T03:33:58.870741+00:00
Nassau,Passing clouds. Warm.,Mon 11:33 pm,https://www.timeanddate.com/weather/bahamas/nassau,84ʡF,2026-09-15T03:33:58.870741+00:00
Addis Ababa,Passing clouds. Cool.,Tue 6:33 am,https://www.timeanddate.com/weather/ethiopia/addis-ababa,57ʡF,2026-09-15T03:33:58.870741+00:00
Frankfurt,Clear. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/germany/frankfurt,59ʡF,2026-09-15T03:33:58.870741+00:00
New Delhi,Fog. Warm.,Tue 9:03 am,https://www.timeanddate.com/weather/india/new-delhi,82ʡF,2026-09-15T03:33:58.870741+00:00
Adelaide,Cool.,Tue 1:03 pm,https://www.timeanddate.com/weather/australia/adelaide,63ʡF,2026-09-15T03:33:58.870741+00:00
Guatemala City,Passing clouds. Mild.,Mon 9:33 pm,https://www.timeanddate.com/weather/guatemala/guatemala,68ʡF,2026-09-15T03:33:58.870741+00:00
New Orleans,Clear. Warm.,Mon 10:33 pm,https://www.timeanddate.com/weather/usa/new-orleans,83ʡF,2026-09-15T03:33:58.870741+00:00
Algiers,Clear. Mild.,Tue 4:33 am,https://www.timeanddate.com/weather/algeria/algiers,77ʡF,2026-09-15T03:33:58.870741+00:00
Halifax,Passing clouds. Cool.,Tue 12:33 am,https://www.timeanddate.com/weather/canada/halifax,57ʡF,2026-09-15T03:33:58.870741+00:00
New York,Clear. Mild.,Mon 11:33 pm,https://www.timeanddate.com/weather/usa/new-york,65ʡF,2026-09-15T03:33:58.870741+00:00
Almaty,Clear. Mild.,Tue 8:33 am,https://www.timeanddate.com/weather/kazakstan/almaty,70ʡF,2026-09-15T03:33:58.870741+00:00
Hanoi,Light rain. Fog. Warm.,Tue 10:33 am,https://www.timeanddate.com/weather/vietnam/hanoi,77ʡF,2026-09-15T03:33:58.870741+00:00
Oslo,Light rain. Low clouds. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/norway/oslo,54ʡF,2026-09-15T03:33:58.870741+00:00
Amman,Clear. Mild.,Tue 6:33 am,https://www.timeanddate.com/weather/jordan/amman,73ʡF,2026-09-15T03:33:58.870741+00:00
Harare,Sunny. Pleasantly warm.,Tue 5:33 am,https://www.timeanddate.com/weather/zimbabwe/harare,79ʡF,2026-09-15T03:33:58.870741+00:00
Ottawa,Clear. Cool.,Mon 11:33 pm,https://www.timeanddate.com/weather/canada/ottawa,48ʡF,2026-09-15T03:33:58.870741+00:00
Amsterdam,Passing clouds. Mild.,Tue 5:33 am,https://www.timeanddate.com/weather/netherlands/amsterdam,66ʡF,2026-09-15T03:33:58.870741+00:00
Havana,Passing clouds. Warm.,Mon 11:33 pm,https://www.timeanddate.com/weather/cuba/havana,79ʡF,2026-09-15T03:33:58.870741+00:00
Paris,Clear. Mild.,Tue 5:33 am,https://www.timeanddate.com/weather/france/paris,66ʡF,2026-09-15T03:33:58.870741+00:00
Anadyr,Overcast. Chilly.,Tue 3:33 pm,https://www.timeanddate.com/weather/russia/anadyr,34ʡF,2026-09-15T03:33:58.870741+00:00
Helsinki,Clear. Chilly.,Tue 6:33 am,https://www.timeanddate.com/weather/finland/helsinki,36ʡF,2026-09-15T03:33:58.870741+00:00
Perth,Sunny. Mild.,Tue 11:33 am,https://www.timeanddate.com/weather/australia/perth,72ʡF,2026-09-15T03:33:58.870741+00:00
Anchorage,Sunny. Cool.,Mon 7:33 pm,https://www.timeanddate.com/weather/usa/anchorage,56ʡF,2026-09-15T03:33:58.870741+00:00
Hong Kong,Scattered clouds. Warm.,Tue 11:33 am,https://www.timeanddate.com/weather/hong-kong/hong-kong,86ʡF,2026-09-15T03:33:58.870741+00:00
Philadelphia,Clear. Mild.,Mon 11:33 pm,https://www.timeanddate.com/weather/usa/philadelphia,66ʡF,2026-09-15T03:33:58.870741+00:00
Ankara,Clear. Cool.,Tue 6:33 am,https://www.timeanddate.com/weather/turkey/ankara,48ʡF,2026-09-15T03:33:58.870741+00:00
Honolulu,Passing clouds. Warm.,Mon 5:33 pm,https://www.timeanddate.com/weather/usa/honolulu,85ʡF,2026-09-15T03:33:58.870741+00:00
Phoenix,Passing clouds. Extremely hot.,Mon 8:33 pm,https://www.timeanddate.com/weather/usa/phoenix,102ʡF,2026-09-15T03:33:58.870741+00:00
Antananarivo,Scattered clouds. Cool.,Tue 6:33 am,https://www.timeanddate.com/weather/madagascar/antananarivo,54ʡF,2026-09-15T03:33:58.870741+00:00
Houston,Passing clouds. Warm.,Mon 10:33 pm,https://www.timeanddate.com/weather/usa/houston,84ʡF,2026-09-15T03:33:58.870741+00:00
Prague,Passing clouds. Cool.,Tue 5:33 am,https://www.timeanddate.com/weather/czech-republic/prague,52ʡF,2026-09-15T03:33:58.870741+00:00
Asuncion,Clear. Mild.,Tue 12:33 am,https://www.timeanddate.com/weather/paraguay/asuncion,63ʡF,2026-09-15T03:33:58.870741+00:00
Indianapolis,Passing clouds. Mild.,Mon 11:33 pm,https://www.timeanddate.com/weather/usa/indianapolis,73ʡF,2026-09-15T03:33:58.870741+00:00
Reykjavik,Clear. Quite cool.,Tue 3:33 am,https://www.timeanddate.com/weather/iceland/reykjavik,41ʡF,2026-09-15T03:33:58.870741+00:00
Athens,Mild.,Tue 6:33 am,https://www.timeanddate.com/weather/greece/athens,76ʡF,2026-09-15T03:33:58.870741+00:00
Islamabad,Scattered clouds. Warm.,Tue 8:33 am,https://www.timeanddate.com/weather/pakistan/islamabad,88ʡF,2026-09-15T03:33:58.870741+00:00
Rio de Janeiro,Drizzle. Fog. Mild.,Tue 12:33 am,https://www.timeanddate.com/weather/brazil/rio-de-janeiro,68ʡF,2026-09-15T03:33:58.870741+00:00
Atlanta,Clear. Mild.,Mon 11:33 pm,https://www.timeanddate.com/weather/usa/atlanta,74ʡF,2026-09-15T03:33:58.870741+00:00
Istanbul,Clear. Mild.,Tue 6:33 am,https://www.timeanddate.com/weather/turkey/istanbul,63ʡF,2026-09-15T03:33:58.870741+00:00
Riyadh,Sunny. Pleasantly warm.,Tue 6:33 am,https://www.timeanddate.com/weather/saudi-arabia/riyadh,82ʡF,2026-09-15T03:33:58.870741+00:00
Auckland,Passing clouds. Cool.,Tue 3:33 pm,https://www.timeanddate.com/weather/new-zealand/auckland,59ʡF,2026-09-15T03:33:58.870741+00:00
Jakarta,Scattered clouds. Warm.,Tue 10:33 am,https://www.timeanddate.com/weather/indonesia/jakarta,87ʡF,2026-09-15T03:33:58.870741+00:00
