city,condition,local_time,source_url,scraped_at,temperature_f,temperature_c,country
Kathmandu,Broken clouds. Mild.,Fri 9:32 am,https://www.timeanddate.com/weather/nepal/kathmandu,2026-09-04 03:47:52.737343+00:00,73,22.8,nepal
San Salvador,Sunny. Warm.,Thu 9:47 pm,https://www.timeanddate.com/weather/el-salvador/san-salvador,2026-09-04 03:47:52.737343+00:00,77,25.0,el-salvador
Belgrade,Passing clouds. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/serbia/belgrade,2026-09-04 03:47:52.737343+00:00,66,18.9,serbia
Kingston,Warm.,Thu 10:47 pm,https://www.timeanddate.com/weather/jamaica/kingston,2026-09-04 03:47:52.737343+00:00,85,29.4,jamaica
Santiago,Clear. Cool.,Thu 11:47 pm,https://www.timeanddate.com/weather/chile/santiago,2026-09-04 03:47:52.737343+00:00,55,12.8,chile
Bengaluru,Scattered clouds. Mild.,Fri 9:17 am,https://www.timeanddate.com/weather/india/bengaluru,2026-09-04 03:47:52.737343+00:00,73,22.8,india
Kinshasa,Clear. Mild.,Fri 4:47 am,https://www.timeanddate.com/weather/congo-demrep/kinshasa,2026-09-04 03:47:52.737343+00:00,75,23.9,congo-demrep
Santo Domingo,Overcast. Warm.,Thu 11:47 pm,https://www.timeanddate.com/weather/dominican-republic/santo-domingo,2026-09-04 03:47:52.737343+00:00,83,28.3,dominican-republic
Berlin,Passing clouds. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/germany/berlin,2026-09-04 03:47:52.737343+00:00,64,17.8,germany
Kiritimati,Broken clouds. Warm.,Fri 5:47 pm,https://www.timeanddate.com/weather/kiribati/kiritimati,2026-09-04 03:47:52.737343+00:00,88,31.1,kiribati
São Paulo,Clear. Mild.,Fri 12:47 am,https://www.timeanddate.com/weather/brazil/sao-paulo,2026-09-04 03:47:52.737343+00:00,68,20.0,brazil
Bogota,Passing clouds. Cool.,Thu 10:47 pm,https://www.timeanddate.com/weather/colombia/bogota,2026-09-04 03:47:52.737343+00:00,52,11.1,colombia
Kolkata,Broken clouds. Warm.,Fri 9:17 am,https://www.timeanddate.com/weather/india/kolkata,2026-09-04 03:47:52.737343+00:00,86,30.0,india
Seattle,Partly cloudy. Cool.,Thu 8:47 pm,https://www.timeanddate.com/weather/usa/seattle,2026-09-04 03:47:52.737343+00:00,60,15.6,usa
Boston,High level clouds. Mild.,Thu 11:47 pm,https://www.timeanddate.com/weather/usa/boston,2026-09-04 03:47:52.737343+00:00,67,19.4,usa
Kuala Lumpur,Passing clouds. Warm.,Fri 11:47 am,https://www.timeanddate.com/weather/malaysia/kuala-lumpur,2026-09-04 03:47:52.737343+00:00,88,31.1,malaysia
Seoul,Passing clouds. Warm.,Fri 12:47 pm,https://www.timeanddate.com/weather/south-korea/seoul,2026-09-04 03:47:52.737343+00:00,84,28.9,south-korea
Brasilia,Clear. Mild.,Fri 12:47 am,https://www.timeanddate.com/weather/brazil/brasilia,2026-09-04 03:47:52.737343+00:00,72,22.2,brazil
Kuwait City,Clear. Extremely hot.,Fri 6:47 am,https://www.timeanddate.com/weather/kuwait/kuwait-city,2026-09-04 03:47:52.737343+00:00,94,34.4,kuwait
Shanghai,Partly sunny. Warm.,Fri 11:47 am,https://www.timeanddate.com/weather/china/shanghai,2026-09-04 03:47:52.737343+00:00,88,31.1,china
Brisbane,Pleasantly warm.,Fri 1:47 pm,https://www.timeanddate.com/weather/australia/brisbane,2026-09-04 03:47:52.737343+00:00,89,31.7,australia
Kyiv,Overcast. Cool.,Fri 6:47 am,https://www.timeanddate.com/weather/ukraine/kyiv,2026-09-04 03:47:52.737343+00:00,59,15.0,ukraine
Singapore,Partly sunny. Warm.,Fri 11:47 am,https://www.timeanddate.com/weather/singapore/singapore,2026-09-04 03:47:52.737343+00:00,88,31.1,singapore
Brussels,Passing clouds. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/belgium/brussels,2026-09-04 03:47:52.737343+00:00,68,20.0,belgium
La Paz,Clear. Quite cool.,Thu 11:47 pm,https://www.timeanddate.com/weather/bolivia/la-paz,2026-09-04 03:47:52.737343+00:00,41,5.0,bolivia
Sofia,Passing clouds. Cool.,Fri 6:47 am,https://www.timeanddate.com/weather/bulgaria/sofia,2026-09-04 03:47:52.737343+00:00,56,13.3,bulgaria
Bucharest,Passing clouds. Mild.,Fri 6:47 am,https://www.timeanddate.com/weather/romania/bucharest,2026-09-04 03:47:52.737343+00:00,64,17.8,romania
Lagos,Passing clouds. Warm.,Fri 4:47 am,https://www.timeanddate.com/weather/nigeria/lagos,2026-09-04 03:47:52.737343+00:00,77,25.0,nigeria
